epoch,train_loss,val_auc,val_ap,pos_samples,elapsed_sec
1,1.3860750198364258,0.8206390773051346,0.8841790473979843,5842,0.09665346145629883
10,0.979479968547821,0.8970942614096358,0.9149949624254442,5842,0.5251383781433105
20,0.9294679164886475,0.907293667393952,0.9243760628699595,5842,1.0090410709381104
30,0.909203052520752,0.9167642052131879,0.9318384401678314,5842,1.5875024795532227
40,0.8963395357131958,0.9182171932165404,0.9325819442655003,5842,2.142000436782837
50,0.8897281885147095,0.9264769076996493,0.9379543758554575,5842,2.629364490509033
60,0.8743639588356018,0.9218995206564087,0.9383825117181799,5842,3.1612792015075684
70,0.8589872121810913,0.9271345509626046,0.9410201198053408,5842,3.702556848526001
80,0.8620030879974365,0.9290267591957283,0.9427570463780803,5842,4.177529811859131
90,0.8511359691619873,0.9293306521114623,0.9431301121912641,5842,4.642487525939941
100,0.8474830985069275,0.9280652230170394,0.9428986838361527,5842,5.135434865951538
110,0.8551960587501526,0.9284474633251107,0.9428679131352709,5842,5.599885702133179
120,0.8545106053352356,0.9299787987208008,0.9432557874080272,5842,6.102172374725342
