GS_A_ID	GS_B_ID	ALL	GS_A_SIZE	GS_B_SIZE	OLAP	SIMILARITY	NLOGPMF	CDF	NLOGCDF
GEX017626	GEX093626	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX036444	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX017626	GEX113038	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX021921	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX117058	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX055308	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX078223	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX017626	GEX104469	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX017626	GEX086477	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX017626	GEX104027	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX065859	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX017626	GEX108874	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX090246	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX083907	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX017626	GEX118398	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX017626	GEX106689	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX017626	GEX122211	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX017626	GEX118554	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX017626	GEX123309	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX092596	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX017626	GEX093996	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX099228	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX017626	GEX066776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX017626	GEX071513	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX017626	GEX056705	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX017626	GEX112560	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX017626	GEX026108	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX017626	GEX078023	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX037531	GEX066621	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX045679	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX121181	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX056014	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX070403	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX056536	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX039983	GEX088794	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX071222	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX079080	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
