gs_id,gnn_cluster,structlite_cluster
GEX036408,5,6
GEX036444,2,6
GEX036445,7,5
GEX036446,7,5
GEX036503,8,1
GEX036551,1,3
GEX036634,5,3
GEX036635,1,5
GEX036660,5,3
GEX036661,6,3
GEX036686,4,3
GEX036690,0,7
GEX036691,0,7
GEX036741,8,1
GEX036760,7,9
GEX036791,8,1
GEX036812,2,6
GEX036814,7,1
GEX036845,9,3
GEX036858,9,3
GEX036949,6,9
GEX036957,8,6
GEX037028,5,4
GEX037038,2,1
GEX037191,8,1
GEX037227,7,9
GEX037228,7,4
GEX037248,1,3
GEX037295,8,1
GEX037371,6,0
GEX037372,7,0
GEX037389,2,6
GEX037405,0,2
GEX037417,0,2
GEX037426,0,4
GEX037434,8,1
GEX037450,8,1
GEX037487,6,9
GEX037511,2,6
GEX037531,5,1
GEX037595,1,4
GEX037596,2,4
GEX037597,7,9
GEX037612,5,0
GEX037732,8,1
GEX037740,7,4
GEX037757,5,9
GEX037781,2,5
GEX037782,7,5
GEX037817,5,3
GEX037882,8,1
GEX037959,2,6
GEX038042,6,4
GEX038263,2,5
GEX038357,0,7
GEX038358,5,2
GEX038403,5,9
GEX038432,0,7
GEX038479,7,4
GEX038496,1,2
GEX038507,2,5
GEX038518,9,7
GEX038519,3,2
GEX038590,8,1
GEX038670,2,6
GEX038686,6,0
GEX038702,5,0
GEX038741,0,7
GEX038771,0,3
GEX038787,9,7
GEX038788,4,7
GEX038799,3,7
GEX038837,9,3
GEX038838,5,7
GEX038854,3,3
GEX038863,9,0
GEX038864,7,5
GEX038881,6,0
GEX038882,5,7
GEX038913,9,3
GEX038944,5,0
GEX038945,2,2
GEX039004,0,7
GEX039035,1,7
GEX039051,9,7
GEX039095,9,3
GEX039103,6,0
GEX039104,3,7
GEX039108,3,3
GEX039122,6,4
GEX039261,2,6
GEX039325,0,4
GEX039326,7,0
GEX039345,7,5
GEX039346,1,0
GEX039375,3,7
GEX039401,0,3
GEX039410,6,9
GEX039442,0,3
GEX039498,7,5
GEX039519,0,0
GEX039522,5,7
GEX039523,1,5
GEX039525,0,9
GEX039669,3,7
GEX039686,4,7
GEX039687,1,0
GEX039697,1,5
GEX039698,9,0
GEX039734,4,3
GEX039738,5,7
GEX039739,5,3
GEX039760,1,3
GEX039762,1,4
GEX039763,3,3
GEX039774,7,5
GEX039786,7,5
GEX039823,4,7
GEX039898,9,7
GEX039917,8,5
GEX039918,1,0
GEX039925,9,7
GEX039935,0,7
GEX039936,3,2
GEX039983,2,8
GEX039996,5,5
GEX039997,4,7
GEX040026,4,3
GEX040069,6,3
GEX040092,4,7
GEX040138,4,0
GEX040195,2,5
GEX040196,7,5
GEX040243,0,2
GEX040244,7,5
GEX040255,9,7
GEX040257,3,3
GEX040271,8,1
GEX040377,3,7
GEX040379,4,3
GEX040419,0,3
GEX040471,5,3
GEX040491,8,1
GEX040496,8,1
GEX040509,9,2
GEX040525,9,3
GEX040542,1,5
GEX040563,8,1
GEX040605,7,5
GEX040614,0,3
GEX040636,4,7
GEX040637,7,5
GEX040645,0,7
GEX040646,9,9
GEX040647,0,2
GEX040648,9,3
GEX040649,7,5
GEX040670,5,1
GEX040710,0,4
GEX040733,7,9
GEX040778,3,7
GEX040779,7,5
GEX040833,8,1
GEX040835,7,1
GEX040894,4,7
GEX040933,9,7
GEX040934,1,9
GEX040972,5,1
GEX040981,1,9
GEX040990,6,9
GEX040991,9,3
GEX040996,4,3
GEX041081,9,7
GEX041094,4,7
GEX041095,0,7
GEX041125,5,4
GEX041126,9,4
GEX041157,1,3
GEX041158,1,9
GEX041187,4,3
GEX041188,5,9
GEX041195,9,7
GEX041211,8,1
GEX041246,8,1
GEX041382,1,4
GEX041383,7,9
GEX041385,7,5
GEX041410,9,2
GEX041453,3,3
GEX041486,8,1
GEX041547,9,3
GEX041566,1,5
GEX041613,7,5
GEX041614,7,5
GEX041622,0,7
GEX041634,3,3
GEX041660,7,4
GEX041688,7,0
GEX041690,5,6
GEX041697,6,7
GEX041698,7,5
GEX041734,7,9
GEX041735,6,2
GEX041739,3,3
GEX041754,0,3
GEX041911,1,9
GEX041912,1,3
GEX041986,7,9
GEX042044,9,2
GEX042045,6,2
GEX042052,6,3
GEX042059,5,3
GEX042122,8,1
GEX042249,7,0
GEX042323,2,5
GEX042324,1,4
GEX042381,5,2
GEX042382,6,2
GEX042468,0,7
GEX042477,6,9
GEX042612,2,4
GEX042626,8,4
GEX042631,0,7
GEX042751,4,7
GEX042754,6,0
GEX042763,9,7
GEX042778,2,4
GEX042779,2,4
GEX042781,7,4
GEX042938,4,7
GEX043033,5,1
GEX043111,2,2
GEX043112,5,7
GEX043153,7,5
GEX043154,6,0
GEX043178,4,3
GEX043209,1,0
GEX043216,5,4
GEX043271,0,7
GEX043272,3,7
GEX043308,4,7
GEX043309,0,3
GEX043330,2,1
GEX043421,0,3
GEX043449,2,6
GEX043582,6,0
GEX043587,6,0
GEX043597,9,7
GEX043637,2,1
GEX043655,3,7
GEX043697,1,4
GEX043726,8,1
GEX043757,6,9
GEX043773,2,5
GEX043800,2,5
GEX043805,4,3
GEX043817,7,4
GEX043818,1,9
GEX043832,1,9
GEX043841,9,2
GEX043842,2,2
GEX043852,0,7
GEX043856,4,3
GEX043857,3,7
GEX043864,1,9
GEX043865,1,3
GEX043896,6,3
GEX043910,5,3
GEX043911,7,0
GEX043949,5,2
GEX043950,7,0
GEX043991,9,2
GEX043992,4,7
GEX044025,2,4
GEX044046,1,0
GEX044089,0,3
GEX044090,6,0
GEX044165,2,2
GEX044166,9,7
GEX044220,3,2
GEX044232,2,5
GEX044265,5,3
GEX044266,5,5
GEX044414,5,1
GEX044466,9,7
GEX044483,5,1
GEX044491,8,1
GEX044611,0,4
GEX044710,9,7
GEX044718,6,3
GEX044719,9,3
GEX044748,3,7
GEX044749,1,0
GEX044752,5,6
GEX044776,3,3
GEX044791,4,3
GEX044797,6,2
GEX044825,7,5
GEX044878,2,4
GEX044888,2,8
GEX044910,1,0
GEX044950,2,9
GEX044951,7,5
GEX045001,9,7
GEX045019,0,7
GEX045020,5,0
GEX045055,9,2
GEX045093,6,9
GEX045105,5,0
GEX045116,6,0
GEX045117,9,0
GEX045144,5,3
GEX045244,4,0
GEX045245,4,9
GEX045370,0,7
GEX045371,7,2
GEX045376,0,2
GEX045399,8,1
GEX045443,2,6
GEX045641,6,5
GEX045679,2,6
GEX045680,0,2
GEX045681,7,5
GEX045686,7,5
GEX045687,2,9
GEX045692,3,7
GEX045720,5,1
GEX045771,1,0
GEX045794,4,7
GEX045795,1,0
GEX045834,7,5
GEX045895,4,3
GEX045896,3,7
GEX045921,2,6
GEX045937,5,7
GEX045938,8,5
GEX045985,9,9
GEX045986,5,3
GEX045991,7,2
GEX045997,2,6
GEX046019,8,1
GEX046105,5,4
GEX046111,2,4
GEX046112,3,4
GEX046151,1,0
GEX046159,8,1
GEX046260,2,8
GEX046282,0,3
GEX046283,3,7
GEX046298,5,3
GEX046299,2,5
GEX046344,9,3
GEX046488,5,4
GEX046489,6,4
GEX046490,0,2
GEX046491,6,2
GEX046547,5,2
GEX046569,4,7
GEX046570,5,0
GEX046633,3,7
GEX046634,7,5
GEX046638,0,3
GEX046652,5,0
GEX046694,9,0
GEX046695,6,5
GEX046719,8,1
GEX046823,3,2
GEX046902,1,0
GEX046954,3,3
GEX046959,8,6
GEX047001,5,4
GEX047016,5,2
GEX047017,9,3
GEX047028,3,3
GEX047029,7,5
GEX047048,3,3
GEX047056,4,7
GEX047073,7,4
GEX047098,2,6
GEX047100,7,4
GEX047101,7,4
GEX047140,6,5
GEX047150,4,2
GEX047217,7,5
GEX047218,0,3
GEX047263,0,0
GEX047264,4,3
GEX047375,4,7
GEX047404,3,7
GEX047405,7,5
GEX047422,0,7
GEX047423,6,0
GEX047427,8,1
GEX047440,9,7
GEX047442,5,4
GEX047510,2,4
GEX047513,2,6
GEX047517,2,5
GEX047690,0,3
GEX047691,4,3
GEX047766,0,0
GEX047767,3,7
GEX047773,6,0
GEX047823,7,9
GEX047824,4,7
GEX047909,3,2
GEX047948,6,0
GEX047949,7,4
GEX048003,9,7
GEX048069,8,1
GEX048089,4,4
GEX048215,9,2
GEX048216,1,2
GEX048223,0,3
GEX048248,8,6
GEX048288,2,4
GEX048370,2,4
GEX048371,9,4
GEX048372,9,2
GEX048373,4,7
GEX048404,9,3
GEX048417,1,0
GEX048432,1,3
GEX048446,1,3
GEX048506,0,3
GEX048531,4,3
GEX048586,9,7
GEX048611,9,7
GEX048620,3,3
GEX048634,6,3
GEX048693,1,0
GEX048694,0,7
GEX048729,9,3
GEX048844,0,2
GEX048845,6,2
GEX048852,8,1
GEX048858,3,7
GEX048859,0,2
GEX048879,6,7
GEX048880,1,2
GEX048935,3,3
GEX048963,0,3
GEX048992,6,4
GEX048993,1,4
GEX049276,9,2
GEX049277,1,2
GEX049325,9,7
GEX049326,4,3
GEX049348,1,0
GEX049367,0,4
GEX049371,1,5
GEX049393,0,3
GEX049473,7,4
GEX049483,3,4
GEX049484,3,4
GEX049485,3,7
GEX049526,4,7
GEX049527,1,0
GEX049574,5,6
GEX049647,0,7
GEX049659,2,5
GEX049677,7,5
GEX049691,4,7
GEX049692,7,5
GEX049698,1,0
GEX049766,2,5
GEX049796,1,0
GEX049811,5,2
GEX049812,2,5
GEX049832,8,1
GEX049915,2,6
GEX049981,4,3
GEX049982,9,3
GEX050023,0,7
GEX050043,1,2
GEX050062,5,2
GEX050063,9,2
GEX050207,3,7
GEX050220,3,7
GEX050226,2,4
GEX050227,8,1
GEX050289,0,7
GEX050301,9,7
GEX050326,2,2
GEX050327,9,2
GEX050367,8,1
GEX050423,4,3
GEX050439,6,9
GEX050490,6,7
GEX050592,7,4
GEX050593,2,4
GEX050622,0,3
GEX050623,1,0
GEX050720,9,0
GEX050738,9,7
GEX050766,2,1
GEX050777,5,1
GEX050788,0,7
GEX050813,2,5
GEX050815,2,5
GEX050831,4,7
GEX050842,4,3
GEX050843,5,9
GEX050862,3,3
GEX050884,1,9
GEX050909,4,7
GEX050910,9,7
GEX050931,3,3
GEX050950,9,3
GEX051003,0,7
GEX051004,4,7
GEX051068,4,3
GEX051085,9,7
GEX051086,1,7
GEX051090,6,0
GEX051091,2,5
GEX051114,2,5
GEX051115,7,5
GEX051146,7,5
GEX051147,7,5
GEX051169,8,1
GEX051196,4,7
GEX051293,7,5
GEX051294,2,5
GEX051352,1,9
GEX051353,1,3
GEX051416,4,3
GEX051439,1,9
GEX051440,0,3
GEX051466,1,0
GEX051467,7,9
GEX051506,3,3
GEX051559,4,7
GEX051619,5,1
GEX051675,0,7
GEX051676,5,0
GEX051730,9,9
GEX051745,4,7
GEX051757,6,9
GEX051777,9,3
GEX051788,5,9
GEX051804,6,0
GEX051805,7,5
GEX051873,1,5
GEX051880,1,2
GEX052006,2,6
GEX052084,2,4
GEX052111,9,0
GEX052149,2,6
GEX052284,8,1
GEX052301,6,2
GEX052312,6,9
GEX052329,8,1
GEX052414,9,3
GEX052477,7,4
GEX052478,7,0
GEX052490,9,7
GEX052678,0,3
GEX052704,3,7
GEX052705,1,9
GEX052751,9,7
GEX052752,0,3
GEX052757,0,3
GEX052758,7,5
GEX052871,2,5
GEX052872,0,7
GEX052888,1,3
GEX053011,5,2
GEX053012,5,0
GEX053034,4,3
GEX053040,0,7
GEX053049,7,5
GEX053090,0,7
GEX053095,6,5
GEX053120,3,3
GEX053194,3,2
GEX053227,8,6
GEX053293,6,9
GEX053294,6,4
GEX053308,4,7
GEX053327,9,2
GEX053330,9,4
GEX053331,7,4
GEX053345,2,6
GEX053352,9,7
GEX053538,0,3
GEX053565,0,7
GEX053618,3,3
GEX053683,6,2
GEX053684,7,2
GEX053721,1,5
GEX053722,3,3
GEX053741,8,4
GEX053829,0,7
GEX053838,9,2
GEX053866,1,4
GEX053867,2,4
GEX053901,9,7
GEX053906,7,2
GEX053907,5,7
GEX053938,8,1
GEX053992,2,1
GEX054026,9,3
GEX054079,4,3
GEX054085,2,5
GEX054086,5,2
GEX054213,5,4
GEX054247,0,4
GEX054263,6,2
GEX054268,7,5
GEX054269,7,9
GEX054287,2,8
GEX054351,0,7
GEX054493,2,6
GEX054540,7,5
GEX054568,5,7
GEX054601,0,7
GEX054609,3,7
GEX054736,0,7
GEX054769,2,6
GEX054809,7,5
GEX054810,6,9
GEX054814,1,3
GEX054876,7,0
GEX054877,6,2
GEX054991,8,1
GEX055002,2,5
GEX055010,3,3
GEX055023,7,5
GEX055024,6,0
GEX055029,4,3
GEX055030,0,9
GEX055089,3,7
GEX055090,2,5
GEX055122,6,3
GEX055140,2,5
GEX055156,2,5
GEX055178,1,5
GEX055225,0,3
GEX055246,4,3
GEX055308,2,8
GEX055329,9,7
GEX055334,3,3
GEX055343,2,1
GEX055366,7,9
GEX055367,1,0
GEX055465,8,1
GEX055534,6,4
GEX055535,7,9
GEX055546,0,4
GEX055563,0,3
GEX055572,0,7
GEX055573,9,7
GEX055720,1,9
GEX055721,6,9
GEX055745,2,5
GEX055749,5,7
GEX055750,1,7
GEX055800,7,5
GEX055866,3,7
GEX055973,0,4
GEX055974,5,4
GEX056014,2,8
GEX056019,3,3
GEX056054,7,2
GEX056073,7,9
GEX056089,8,8
GEX056099,2,5
GEX056100,4,7
GEX056237,0,3
GEX056260,3,3
GEX056326,6,3
GEX056386,2,6
GEX056422,1,7
GEX056517,2,6
GEX056536,2,6
GEX056559,0,0
GEX056631,7,5
GEX056639,2,5
GEX056642,0,3
GEX056643,5,5
GEX056705,2,6
GEX056757,3,3
GEX056783,7,0
GEX056784,8,1
GEX056801,7,9
GEX056802,7,4
GEX056825,4,3
GEX056834,6,9
GEX057155,1,5
GEX057156,3,3
GEX057158,2,5
GEX057189,8,6
GEX057223,6,0
GEX057226,6,3
GEX057235,5,3
GEX057313,4,7
GEX057443,7,4
GEX057452,9,3
GEX057453,3,7
GEX057508,5,3
GEX057509,7,5
GEX057556,1,0
GEX057642,2,6
GEX057678,2,5
GEX057679,6,2
GEX057711,8,1
GEX057737,8,7
GEX057738,1,0
GEX057859,1,0
GEX057883,2,5
GEX057884,7,0
GEX057921,3,7
GEX057935,5,7
GEX057936,1,0
GEX057943,4,7
GEX057944,7,5
GEX057971,1,0
GEX057980,5,4
GEX058012,5,3
GEX058031,5,4
GEX058032,1,0
GEX058034,9,7
GEX058042,6,7
GEX058061,3,3
GEX058080,1,5
GEX058087,9,7
GEX058088,0,7
GEX058124,6,9
GEX058125,1,9
GEX058149,0,3
GEX058178,4,7
GEX058179,0,7
GEX058192,4,3
GEX058243,4,7
GEX058244,7,5
GEX058306,7,5
GEX058314,3,7
GEX058326,9,3
GEX058327,4,3
GEX058352,2,6
GEX058399,7,4
GEX058400,1,4
GEX058423,3,3
GEX058474,1,9
GEX058475,1,9
GEX058498,1,0
GEX058527,0,4
GEX058630,5,2
GEX058631,5,2
GEX058697,0,3
GEX058698,8,5
GEX058704,5,0
GEX058737,0,3
GEX058738,6,9
GEX058749,8,1
GEX058764,3,3
GEX058791,5,9
GEX058795,8,1
GEX058847,8,1
GEX058886,7,2
GEX058890,2,6
GEX058953,5,5
GEX058954,6,2
GEX058969,7,5
GEX058974,5,2
GEX058975,3,2
GEX059024,5,0
GEX059025,9,3
GEX059026,4,3
GEX059028,2,8
GEX059035,9,7
GEX059091,9,3
GEX059113,7,9
GEX059114,4,0
GEX059168,5,4
GEX059254,9,7
GEX059356,9,2
GEX059357,9,0
GEX059419,8,1
GEX059424,6,9
GEX059503,3,7
GEX059559,5,1
GEX059654,6,2
GEX059661,5,3
GEX059707,3,3
GEX059769,8,1
GEX059771,2,5
GEX059772,5,9
GEX059848,3,7
GEX059849,4,0
GEX059865,0,7
GEX059947,7,2
GEX059966,7,5
GEX060010,1,0
GEX060093,2,1
GEX060099,3,3
GEX060101,9,7
GEX060102,4,2
GEX060109,7,5
GEX060110,6,0
GEX060166,2,5
GEX060270,7,5
GEX060277,9,3
GEX060284,7,5
GEX060309,8,1
GEX060547,6,4
GEX060548,6,9
GEX060574,9,4
GEX060604,3,3
GEX060618,1,3
GEX060768,3,3
GEX060792,0,3
GEX060852,6,9
GEX060853,7,5
GEX060978,6,2
GEX060988,0,7
GEX060989,0,7
GEX061012,8,4
GEX061044,6,0
GEX061111,9,3
GEX061189,1,0
GEX061190,3,7
GEX061232,2,1
GEX061258,6,0
GEX061327,7,5
GEX061328,7,4
GEX061423,8,1
GEX061517,5,0
GEX061549,6,5
GEX061550,9,0
GEX061565,2,6
GEX061589,6,4
GEX061590,7,9
GEX061659,9,2
GEX061660,5,3
GEX061777,7,4
GEX061786,8,1
GEX061802,9,3
GEX061808,9,2
GEX061809,5,2
GEX061853,8,1
GEX061895,9,7
GEX061896,6,0
GEX061951,4,3
GEX061952,5,9
GEX061959,9,7
GEX062015,4,7
GEX062016,1,5
GEX062065,3,7
GEX062073,5,0
GEX062076,3,7
GEX062082,1,2
GEX062083,5,2
GEX062102,9,3
GEX062114,9,2
GEX062211,4,3
GEX062215,2,4
GEX062216,2,4
GEX062245,1,0
GEX062246,1,4
GEX062282,2,1
GEX062354,5,3
GEX062403,7,4
GEX062447,0,2
GEX062448,7,5
GEX062471,0,3
GEX062472,1,4
GEX062549,6,5
GEX062583,6,2
GEX062607,0,4
GEX062611,6,0
GEX062618,9,4
GEX062643,9,0
GEX062794,7,5
GEX062852,2,5
GEX062853,3,7
GEX062877,5,9
GEX062878,5,9
GEX062903,1,7
GEX062904,1,5
GEX062941,1,0
GEX062942,1,7
GEX062956,1,2
GEX062957,6,2
GEX063040,3,3
GEX063071,0,3
GEX063072,7,5
GEX063075,8,1
GEX063076,3,7
GEX063121,2,6
GEX063180,3,3
GEX063212,5,0
GEX063306,1,0
GEX063435,3,3
GEX063436,9,3
GEX063600,0,7
GEX063612,7,4
GEX063613,6,4
GEX063626,3,3
GEX063652,0,7
GEX063653,6,2
GEX063677,2,4
GEX063678,2,4
GEX063699,1,3
GEX063795,3,7
GEX063854,1,0
GEX063855,7,5
GEX063902,3,3
GEX063983,4,7
GEX063984,6,0
GEX064075,1,9
GEX064090,7,2
GEX064091,6,2
GEX064123,7,9
GEX064124,7,9
GEX064133,0,7
GEX064171,3,7
GEX064188,3,2
GEX064189,6,9
GEX064243,8,8
GEX064286,1,0
GEX064305,7,5
GEX064306,1,0
GEX064334,3,4
GEX064335,5,4
GEX064374,5,2
GEX064422,3,3
GEX064436,3,7
GEX064437,1,3
GEX064447,3,7
GEX064466,4,7
GEX064467,1,0
GEX064532,6,0
GEX064552,1,0
GEX064553,9,7
GEX064588,7,5
GEX064644,8,1
GEX064656,0,3
GEX064657,1,2
GEX064668,0,3
GEX064703,8,6
GEX064746,2,1
GEX064758,8,1
GEX064760,3,3
GEX064842,6,9
GEX064843,3,2
GEX064856,7,5
GEX064857,7,5
GEX064875,0,3
GEX064922,9,3
GEX064923,0,7
GEX065018,1,9
GEX065030,7,0
GEX065064,5,4
GEX065083,4,3
GEX065133,0,3
GEX065157,6,9
GEX065267,0,3
GEX065268,1,0
GEX065289,6,0
GEX065290,3,7
GEX065298,9,4
GEX065336,5,3
GEX065371,5,3
GEX065372,2,5
GEX065394,2,8
GEX065406,1,3
GEX065413,4,3
GEX065414,7,5
GEX065425,5,7
GEX065426,3,7
GEX065431,6,2
GEX065432,7,0
GEX065465,5,3
GEX065489,9,3
GEX065490,9,2
GEX065491,1,0
GEX065572,9,7
GEX065573,7,5
GEX065574,2,6
GEX065586,2,5
GEX065590,1,0
GEX065700,6,9
GEX065774,3,3
GEX065775,7,5
GEX065779,9,3
GEX065811,0,7
GEX065817,2,1
GEX065849,1,0
GEX065859,2,6
GEX065927,6,2
GEX065928,1,2
GEX066004,2,6
GEX066060,0,4
GEX066061,6,0
GEX066106,7,9
GEX066115,1,3
GEX066116,5,9
GEX066143,1,5
GEX066144,6,9
GEX066160,7,5
GEX066249,5,2
GEX066280,9,7
GEX066281,5,0
GEX066325,1,9
GEX066377,8,1
GEX066464,4,0
GEX066588,3,3
GEX066621,5,4
GEX066646,2,6
GEX066701,2,6
GEX066776,2,6
GEX066790,3,2
GEX066839,5,9
GEX066872,1,0
GEX066938,2,6
GEX066940,7,5
GEX066941,6,0
GEX066972,6,4
GEX066973,7,4
GEX066985,3,3
GEX067004,3,7
GEX067049,5,0
GEX067114,2,6
GEX067148,3,3
GEX067173,5,3
GEX067179,3,3
GEX067204,2,6
GEX067280,6,9
GEX067289,6,0
GEX067303,5,9
GEX067304,7,5
GEX067305,1,5
GEX067314,6,0
GEX067323,1,9
GEX067387,9,3
GEX067388,9,0
GEX067407,9,7
GEX067451,9,3
GEX067515,9,3
GEX067516,3,7
GEX067561,4,7
GEX067602,7,1
GEX067620,5,2
GEX067642,1,7
GEX067660,2,6
GEX067667,1,2
GEX067668,1,0
GEX067688,3,3
GEX067699,4,9
GEX067700,3,3
GEX067737,2,5
GEX067738,5,2
GEX067763,6,0
GEX067826,0,7
GEX067827,7,2
GEX067909,6,3
GEX067910,7,5
GEX067971,1,4
GEX067972,7,4
GEX067983,5,3
GEX068029,4,3
GEX068030,9,7
GEX068031,9,7
GEX068068,3,3
GEX068069,9,7
GEX068073,8,1
GEX068082,5,0
GEX068114,1,0
GEX068150,7,5
GEX068264,4,0
GEX068265,0,3
GEX068266,9,2
GEX068267,6,2
GEX068274,8,1
GEX068283,2,6
GEX068284,2,4
GEX068296,7,5
GEX068320,6,5
GEX068328,4,3
GEX068348,4,3
GEX068353,2,6
GEX068587,9,2
GEX068594,9,3
GEX068643,9,3
GEX068656,0,7
GEX068754,9,7
GEX068755,6,0
GEX068800,4,2
GEX068801,6,0
GEX068894,9,7
GEX068984,3,2
GEX068985,1,0
GEX068990,8,6
GEX069019,0,2
GEX069020,1,0
GEX069038,5,7
GEX069039,3,3
GEX069106,7,5
GEX069136,0,4
GEX069137,6,9
GEX069155,5,1
GEX069156,2,6
GEX069161,3,3
GEX069291,2,5
GEX069340,1,0
GEX069469,9,7
GEX069481,3,9
GEX069482,7,5
GEX069490,1,0
GEX069497,3,3
GEX069504,5,2
GEX069614,3,3
GEX069615,4,7
GEX069625,4,3
GEX069634,7,5
GEX069651,4,7
GEX069652,3,3
GEX069673,5,3
GEX069674,2,5
GEX069719,8,6
GEX069818,6,2
GEX069945,5,6
GEX070004,4,7
GEX070086,6,2
GEX070087,9,2
GEX070090,9,7
GEX070091,4,7
GEX070114,4,3
GEX070166,3,7
GEX070167,4,3
GEX070183,1,9
GEX070192,5,9
GEX070193,7,5
GEX070206,6,4
GEX070259,9,2
GEX070384,1,9
GEX070403,2,8
GEX070415,4,3
GEX070426,1,4
GEX070427,7,4
GEX070486,3,3
GEX070487,6,2
GEX070535,7,2
GEX070590,0,7
GEX070591,6,5
GEX070604,7,5
GEX070605,3,7
GEX070653,1,0
GEX070676,6,3
GEX070692,9,0
GEX070750,9,3
GEX070782,0,3
GEX070811,5,0
GEX070813,6,0
GEX070814,5,0
GEX070880,7,9
GEX070881,4,4
GEX070897,2,1
GEX070902,3,7
GEX070903,3,2
GEX070944,6,0
GEX070945,6,5
GEX071222,2,8
GEX071234,7,5
GEX071312,8,4
GEX071315,1,0
GEX071316,7,5
GEX071319,6,4
GEX071320,5,4
GEX071412,2,5
GEX071425,9,3
GEX071496,7,5
GEX071497,7,2
GEX071513,2,6
GEX071514,2,1
GEX071521,3,7
GEX071522,1,0
GEX071546,3,7
GEX071560,9,7
GEX071564,1,0
GEX071572,0,7
GEX071573,7,5
GEX071621,3,3
GEX071622,9,7
GEX071643,3,3
GEX071694,1,0
GEX071760,4,7
GEX071776,2,6
GEX071813,3,2
GEX071887,2,6
GEX071896,1,0
GEX071911,2,6
GEX071931,6,0
GEX071973,7,5
GEX071988,0,7
GEX071989,7,5
GEX072017,8,1
GEX072036,1,2
GEX072073,8,1
GEX072089,3,3
GEX072090,6,0
GEX072097,6,4
GEX072136,9,3
GEX072137,9,0
GEX072203,5,7
GEX072204,7,5
GEX072205,0,7
GEX072206,9,7
GEX072334,2,9
GEX072365,9,7
GEX072367,5,3
GEX072372,3,7
GEX072386,5,0
GEX072453,3,7
GEX072454,7,5
GEX072457,2,5
GEX072458,7,5
GEX072524,9,7
GEX072525,4,7
GEX072532,0,4
GEX072537,5,4
GEX072538,9,3
GEX072561,1,7
GEX072674,3,7
GEX072675,7,5
GEX072702,9,3
GEX072725,3,9
GEX072726,3,0
GEX072728,8,1
GEX072780,5,4
GEX072799,3,3
GEX072800,4,3
GEX072869,0,7
GEX072870,9,2
GEX072891,8,1
GEX072898,0,4
GEX072962,9,7
GEX072963,6,0
GEX072976,8,4
GEX073025,8,5
GEX073047,3,3
GEX073048,0,3
GEX073088,7,0
GEX073100,9,0
GEX073101,2,5
GEX073138,0,7
GEX073174,9,7
GEX073175,4,7
GEX073216,6,7
GEX073217,1,0
GEX073273,5,0
GEX073287,8,1
GEX073338,0,7
GEX073382,5,3
GEX073383,2,5
GEX073404,9,3
GEX073408,7,5
GEX073409,9,0
GEX073433,7,0
GEX073434,7,4
GEX073443,9,3
GEX073444,7,5
GEX073521,2,6
GEX073535,5,2
GEX073536,3,2
GEX073558,3,3
GEX073559,4,4
GEX073560,7,9
GEX073610,8,1
GEX073665,4,3
GEX073666,7,5
GEX073709,5,1
GEX073710,5,4
GEX073737,8,1
GEX073752,5,3
GEX073809,4,3
GEX073838,3,3
GEX073850,2,6
GEX073955,3,2
GEX073956,0,7
GEX074000,5,4
GEX074001,0,4
GEX074039,0,7
GEX074052,8,4
GEX074100,4,3
GEX074177,6,3
GEX074202,2,1
GEX074223,1,5
GEX074224,7,5
GEX074356,9,7
GEX074373,2,5
GEX074377,3,3
GEX074378,5,3
GEX074501,2,6
GEX074588,7,5
GEX074604,5,2
GEX074605,2,5
GEX074615,9,7
GEX074686,1,2
GEX074687,9,2
GEX074743,9,7
GEX074771,8,1
GEX074784,8,1
GEX074818,3,3
GEX074878,3,7
GEX074879,6,0
GEX074881,7,0
GEX074910,3,3
GEX074954,8,1
GEX075072,4,3
GEX075113,8,1
GEX075180,6,0
GEX075380,2,4
GEX075425,1,9
GEX075468,9,2
GEX075607,5,2
GEX075612,6,0
GEX075649,6,0
GEX075705,3,3
GEX075823,5,1
GEX075844,1,9
GEX075846,7,0
GEX076011,3,2
GEX076056,5,2
GEX076233,9,0
GEX076234,9,2
GEX076238,7,5
GEX076265,2,4
GEX076299,6,9
GEX076303,4,0
GEX076304,1,3
GEX076310,1,0
GEX076325,6,4
GEX076326,7,4
GEX076333,3,3
GEX076365,6,2
GEX076373,1,7
GEX076389,3,3
GEX076430,8,1
GEX076459,6,0
GEX076472,1,0
GEX076473,6,9
GEX076517,7,5
GEX076528,3,7
GEX076587,3,3
GEX076588,9,0
GEX076628,8,1
GEX076633,0,3
GEX076634,7,9
GEX076649,9,2
GEX076650,1,2
GEX076679,5,7
GEX076680,1,5
GEX076737,9,4
GEX076758,8,1
GEX076781,0,3
GEX076782,6,9
GEX076840,4,3
GEX076903,9,0
GEX076919,0,3
GEX076920,7,5
GEX077067,7,5
GEX077218,4,3
GEX077219,0,3
GEX077250,6,0
GEX077327,4,3
GEX077343,8,1
GEX077466,2,6
GEX077537,0,9
GEX077692,0,4
GEX077697,3,0
GEX077731,3,3
GEX077755,7,5
GEX077756,7,2
GEX077803,0,7
GEX077804,0,7
GEX077810,8,1
GEX077823,6,3
GEX077846,7,5
GEX077886,1,0
GEX077928,8,1
GEX077933,5,0
GEX077982,4,3
GEX077989,8,8
GEX078004,3,7
GEX078005,1,0
GEX078023,2,6
GEX078043,7,4
GEX078044,9,4
GEX078054,4,7
GEX078055,9,3
GEX078064,8,1
GEX078084,2,6
GEX078087,9,7
GEX078126,1,0
