gs_id,gnn_cluster,structlite_cluster
GEX006878,0,3
GEX006890,9,7
GEX006895,1,9
GEX006896,6,0
GEX006914,6,4
GEX006984,2,6
GEX006987,3,4
GEX007004,7,5
GEX007013,3,2
GEX007014,9,7
GEX007116,0,7
GEX007151,9,3
GEX007152,6,9
GEX007201,1,5
GEX007202,9,2
GEX007217,4,7
GEX007222,3,7
GEX007227,8,4
GEX007263,9,3
GEX007264,9,7
GEX007283,7,2
GEX007325,1,9
GEX007326,1,9
GEX007402,1,2
GEX007438,7,5
GEX007443,1,0
GEX007445,0,7
GEX007446,0,7
GEX007559,9,3
GEX007563,1,0
GEX007564,3,7
GEX007579,5,3
GEX007756,1,2
GEX007767,3,2
GEX007768,6,2
GEX007849,5,1
GEX007850,6,4
GEX007858,9,2
GEX007911,3,3
GEX007912,0,0
GEX007967,6,9
GEX007994,1,0
GEX008000,1,9
GEX008017,1,0
GEX008018,1,0
GEX008073,6,2
GEX008115,1,0
GEX008149,1,0
GEX008185,3,2
GEX008186,1,5
GEX008192,9,4
GEX008196,1,3
GEX008254,7,2
GEX008269,4,4
GEX008286,9,7
GEX008287,4,7
GEX008290,8,8
GEX008299,4,3
GEX008300,0,7
GEX008304,2,1
GEX008307,9,2
GEX008308,0,7
GEX008337,3,7
GEX008399,1,0
GEX008420,6,0
GEX008446,8,1
GEX008501,4,2
GEX008502,0,2
GEX008635,6,0
GEX008636,9,3
GEX008643,0,2
GEX008644,6,7
GEX008680,1,4
GEX008755,8,1
GEX008791,7,4
GEX008792,0,3
GEX008814,1,2
GEX008939,1,0
GEX008973,6,7
GEX008974,3,2
GEX009094,8,1
GEX009125,6,0
GEX009143,8,4
GEX009160,3,3
GEX009161,7,5
GEX009178,5,3
GEX009179,1,4
GEX009226,3,7
GEX009234,3,7
GEX009278,9,3
GEX009280,1,9
GEX009296,4,3
GEX009301,9,3
GEX009322,3,7
GEX009323,6,2
GEX009333,2,2
GEX009382,5,3
GEX009383,7,0
GEX009414,7,5
GEX009415,6,0
GEX009501,7,5
GEX009606,2,6
GEX009652,4,7
GEX009680,1,0
GEX009690,6,9
GEX009691,5,9
GEX009698,4,3
GEX009699,9,7
GEX009704,4,3
GEX009742,2,5
GEX009743,3,3
GEX009757,6,4
GEX009759,7,5
GEX009775,9,2
GEX009814,3,4
GEX009831,4,3
GEX009834,5,4
GEX009835,3,3
GEX009837,6,0
GEX009890,0,7
GEX009928,0,7
GEX009929,9,7
GEX009941,8,4
GEX009945,1,0
GEX009959,6,0
GEX010001,4,3
GEX010045,0,7
GEX010073,6,2
GEX010074,6,2
GEX010085,5,3
GEX010086,0,3
GEX010125,6,2
GEX010145,3,3
GEX010257,0,3
GEX010286,0,0
GEX010343,4,7
GEX010375,9,2
GEX010376,9,2
GEX010406,3,3
GEX010424,4,3
GEX010429,0,3
GEX010442,9,2
GEX010443,9,2
GEX010457,8,6
GEX010488,4,7
GEX010489,5,2
GEX010536,0,7
GEX010540,5,7
GEX010541,1,0
GEX010589,2,6
GEX010611,3,3
GEX010643,5,3
GEX010649,4,3
GEX010650,1,0
GEX010663,0,7
GEX010671,3,3
GEX010707,0,9
GEX010708,6,9
GEX010718,1,2
GEX010764,3,3
GEX010797,9,3
GEX010818,3,7
GEX010819,3,7
GEX010867,8,6
GEX010881,5,3
GEX010882,7,5
GEX010901,5,7
GEX010936,1,0
GEX011085,7,4
GEX011086,6,4
GEX011118,3,3
GEX011185,0,7
GEX011203,1,2
GEX011230,9,0
GEX011231,1,0
GEX011236,3,3
GEX011237,4,3
GEX011260,8,1
GEX011288,8,1
GEX011296,1,4
GEX011452,7,9
GEX011453,4,3
GEX011472,3,3
GEX011483,5,3
GEX011494,0,3
GEX011511,6,2
GEX011512,9,2
GEX011522,1,2
GEX011559,6,2
GEX011605,6,3
GEX011620,3,3
GEX011621,6,0
GEX011627,9,2
GEX011628,3,2
GEX011663,8,1
GEX011715,0,3
GEX011754,9,2
GEX011755,9,2
GEX011784,0,2
GEX011826,5,0
GEX011833,7,5
GEX011911,1,5
GEX011912,6,0
GEX011939,8,6
GEX011996,4,7
GEX011997,0,7
GEX012041,5,3
GEX012081,7,9
GEX012082,3,3
GEX012096,0,3
GEX012155,7,5
GEX012156,6,0
GEX012177,7,5
GEX012377,6,1
GEX012447,0,3
GEX012448,6,5
GEX012498,3,4
GEX012533,0,7
GEX012534,9,2
GEX012545,4,3
GEX012547,6,4
GEX012558,3,7
GEX012559,6,2
GEX012608,0,2
GEX012609,1,0
GEX012670,4,7
GEX012671,5,2
GEX012682,1,9
GEX012683,7,4
GEX012703,7,5
GEX012761,4,7
GEX012793,9,3
GEX012795,9,2
GEX012796,5,7
GEX012824,9,3
GEX012848,7,4
GEX012849,7,4
GEX012915,4,2
GEX012916,0,3
GEX012988,9,0
GEX012989,4,0
GEX013013,0,3
GEX013052,4,3
GEX013072,2,4
GEX013073,2,4
GEX013121,5,2
GEX013131,9,4
GEX013138,0,7
GEX013197,9,2
GEX013210,9,7
GEX013215,4,3
GEX013229,1,2
GEX013240,8,6
GEX013298,5,4
GEX013316,9,2
GEX013317,0,7
GEX013326,6,7
GEX013349,6,2
GEX013359,7,5
GEX013360,1,0
GEX013362,1,0
GEX013436,4,3
GEX013437,1,0
GEX013481,6,9
GEX013482,4,3
GEX013486,0,3
GEX013517,8,1
GEX013567,1,4
GEX013589,5,4
GEX013590,6,4
GEX013600,9,7
GEX013613,2,6
GEX013618,0,7
GEX013619,1,5
GEX013632,9,2
GEX013633,6,2
GEX013677,3,7
GEX013678,4,3
GEX013736,7,2
GEX013740,4,7
GEX013741,1,2
GEX013759,3,3
GEX013760,7,0
GEX013789,7,4
GEX013819,6,3
GEX013826,0,3
GEX013843,1,9
GEX013844,1,0
GEX013861,9,2
GEX013876,3,7
GEX013877,1,2
GEX013961,6,4
GEX013962,2,4
GEX014022,6,1
GEX014023,5,1
GEX014028,1,7
GEX014033,1,2
GEX014035,1,2
GEX014049,6,1
GEX014050,5,6
GEX014067,6,3
GEX014068,6,0
GEX014081,7,5
GEX014082,5,2
GEX014100,5,3
GEX014101,0,3
GEX014149,4,3
GEX014175,9,2
GEX014240,6,3
GEX014242,3,3
GEX014263,7,2
GEX014264,3,7
GEX014274,4,7
GEX014305,3,7
GEX014306,4,3
GEX014350,7,0
GEX014353,8,1
GEX014508,0,3
GEX014534,7,4
GEX014561,1,9
GEX014599,0,2
GEX014600,9,2
GEX014603,4,7
GEX014629,1,5
GEX014654,6,0
