group_id,gs_id,degree_centrality,betweenness_centrality,closeness_centrality
A0,GEX021287,1.0,1.59676347865762e-06,1.0
A0,GEX022003,1.0,1.59676347865762e-06,1.0
A0,GEX022008,1.0,1.59676347865762e-06,1.0
A0,GEX022053,1.0,1.59676347865762e-06,1.0
A0,GEX022207,1.0,1.59676347865762e-06,1.0
A0,GEX022451,1.0,1.59676347865762e-06,1.0
A0,GEX022555,1.0,1.59676347865762e-06,1.0
A0,GEX022592,1.0,1.59676347865762e-06,1.0
A0,GEX022632,1.0,1.59676347865762e-06,1.0
A0,GEX022769,1.0,1.59676347865762e-06,1.0
A0,GEX023027,1.0,1.59676347865762e-06,1.0
A0,GEX023093,0.9956803455723543,1.391671989898117e-06,0.9956989247311828
A0,GEX023323,1.0,1.59676347865762e-06,1.0
A0,GEX023555,1.0,1.59676347865762e-06,1.0
A0,GEX023798,0.9978401727861772,1.3687617443635686e-06,0.9978448275862069
A0,GEX024134,0.9978401727861772,1.5152383804747226e-06,0.9978448275862069
A0,GEX024453,1.0,1.59676347865762e-06,1.0
A0,GEX024473,1.0,1.59676347865762e-06,1.0
A0,GEX024782,1.0,1.59676347865762e-06,1.0
A0,GEX025195,1.0,1.59676347865762e-06,1.0
A0,GEX025260,1.0,1.59676347865762e-06,1.0
A0,GEX025274,1.0,1.59676347865762e-06,1.0
A0,GEX025513,1.0,1.59676347865762e-06,1.0
A0,GEX025710,1.0,1.59676347865762e-06,1.0
A0,GEX026021,1.0,1.59676347865762e-06,1.0
A0,GEX026326,1.0,1.59676347865762e-06,1.0
A0,GEX026551,1.0,1.59676347865762e-06,1.0
A0,GEX026738,0.9956803455723543,1.2665093124929962e-06,0.9956989247311828
A0,GEX027295,0.9935205183585314,1.4738230561519918e-06,0.9935622317596566
A0,GEX028264,1.0,1.59676347865762e-06,1.0
A0,GEX028941,1.0,1.59676347865762e-06,1.0
A0,GEX028950,1.0,1.59676347865762e-06,1.0
A0,GEX028961,1.0,1.59676347865762e-06,1.0
A0,GEX029506,1.0,1.59676347865762e-06,1.0
A0,GEX030043,1.0,1.59676347865762e-06,1.0
A0,GEX030521,0.9978401727861772,1.4945557177537586e-06,0.9978448275862069
A0,GEX030699,1.0,1.59676347865762e-06,1.0
A0,GEX030890,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX030962,1.0,1.59676347865762e-06,1.0
A0,GEX031369,1.0,1.59676347865762e-06,1.0
A0,GEX031515,1.0,1.59676347865762e-06,1.0
A0,GEX031588,1.0,1.59676347865762e-06,1.0
A0,GEX031895,1.0,1.59676347865762e-06,1.0
A0,GEX032080,1.0,1.59676347865762e-06,1.0
A0,GEX032198,0.9978401727861772,1.5357858611019203e-06,0.9978448275862069
A0,GEX032637,1.0,1.59676347865762e-06,1.0
A0,GEX032914,1.0,1.59676347865762e-06,1.0
A0,GEX033378,1.0,1.59676347865762e-06,1.0
A0,GEX033650,1.0,1.59676347865762e-06,1.0
A0,GEX033666,1.0,1.59676347865762e-06,1.0
A0,GEX033807,1.0,1.59676347865762e-06,1.0
A0,GEX034239,1.0,1.59676347865762e-06,1.0
A0,GEX034351,1.0,1.59676347865762e-06,1.0
A0,GEX034516,1.0,1.59676347865762e-06,1.0
A0,GEX034571,1.0,1.59676347865762e-06,1.0
A0,GEX034583,1.0,1.59676347865762e-06,1.0
A0,GEX034676,1.0,1.59676347865762e-06,1.0
A0,GEX035002,1.0,1.59676347865762e-06,1.0
A0,GEX035709,1.0,1.59676347865762e-06,1.0
A0,GEX035804,1.0,1.59676347865762e-06,1.0
A0,GEX035962,1.0,1.59676347865762e-06,1.0
A0,GEX036142,1.0,1.59676347865762e-06,1.0
A0,GEX036220,1.0,1.59676347865762e-06,1.0
A0,GEX036690,1.0,1.59676347865762e-06,1.0
A0,GEX036691,1.0,1.59676347865762e-06,1.0
A0,GEX037405,1.0,1.59676347865762e-06,1.0
A0,GEX037417,1.0,1.59676347865762e-06,1.0
A0,GEX037426,0.9762419006479482,1.1611304123718993e-06,0.9767932489451476
A0,GEX038357,1.0,1.59676347865762e-06,1.0
A0,GEX038432,1.0,1.59676347865762e-06,1.0
A0,GEX038741,1.0,1.59676347865762e-06,1.0
A0,GEX038771,0.9978401727861772,1.5357858611019203e-06,0.9978448275862069
