group_id,source,target,edge_type,disease_ids,disease_names,pathway_ids,pathway_names,source_db,min_pval,disease_count,go_terms,go_count,overlap_count,similarity,neg_log_pval,shared_pmid_count,shared_pmids
A0,GEX000093,GEX003166,gene_overlap,,,,,,,,,,1106.0,0.6912683947600788,1.450496977650061e-09,,
A0,GEX000520,GEX033650,gene_overlap,,,,,,,,,,1793.0,0.9985522143844988,49.39049998675169,,
A0,GEX000541,GEX022053,gene_overlap,,,,,,,,,,793.0,0.5874438719556355,6.916645550584872,,
A0,GEX000711,GEX011997,gene_overlap,,,,,,,,,,1721.0,0.8410847041330421,1.1350378258968068e-20,,
A0,GEX000793,GEX022003,gene_overlap,,,,,,,,,,1280.0,0.7776824330145601,0.0677579911354865,,
A0,GEX001680,GEX002400,gene_overlap,,,,,,,,,,1731.0,0.9990767455279862,49.708562397630885,,
A0,GEX001681,GEX002399,gene_overlap,,,,,,,,,,1082.0,0.9992613111726684,19.209053195547312,,
A0,GEX002175,GEX023027,gene_overlap,,,,,,,,,,995.0,0.7214253272224287,7.608709644786923e-10,,
A0,GEX002220,GEX012533,gene_overlap,,,,,,,,,,1289.0,0.7500237025372946,3.885494513809604e-18,,
A0,GEX002282,GEX012096,gene_overlap,,,,,,,,,,651.0,0.7120788379241757,8.0765572918411e-24,,
A0,GEX002429,GEX018524,gene_overlap,,,,,,,,,,1179.0,0.7761442006269592,1.549269842865258e-23,,
A0,GEX002429,GEX035804,gene_overlap,,,,,,,,,,987.0,0.6918232687282889,4.628174056317571e-13,,
A0,GEX002759,GEX010286,gene_overlap,,,,,,,,,,1227.0,0.7022912562154048,4.019742284956097e-36,,
A0,GEX002909,GEX108704,gene_overlap,,,,,,,,,,1592.0,1.0,41.89922729984392,,
A0,GEX003156,GEX017587,gene_overlap,,,,,,,,,,1442.0,0.7550210483874464,2.998303480986717e-48,,
A0,GEX003522,GEX035002,gene_overlap,,,,,,,,,,977.0,0.7366447019794259,4.582413274561769e-52,,
A0,GEX003708,GEX028961,gene_overlap,,,,,,,,,,1101.0,0.7635206361612832,0.0011452805201584,,
A0,GEX004013,GEX023323,gene_overlap,,,,,,,,,,1371.0,0.9976727272727272,31.05114347592462,,
A0,GEX004242,GEX024134,gene_overlap,,,,,,,,,,665.0,0.4832323899600778,0.9928032999186054,,
A0,GEX004337,GEX008643,gene_overlap,,,,,,,,,,1355.0,0.7460915575629858,1.1970550765613826e-05,,
A0,GEX004337,GEX006151,gene_overlap,,,,,,,,,,1284.0,0.7946796772679751,9.881573896819011e-47,,
A0,GEX004512,GEX030890,gene_overlap,,,,,,,,,,697.0,0.4799074864665177,11.67013093054387,,
A0,GEX004773,GEX019764,gene_overlap,,,,,,,,,,1182.0,0.6474109520174278,2.3094562741245973e-05,,
A0,GEX005104,GEX014778,gene_overlap,,,,,,,,,,941.0,0.5987328405491024,15.267383025492848,,
A0,GEX005104,GEX017476,gene_overlap,,,,,,,,,,1167.0,0.689035223358536,6.042576706772269,,
A0,GEX005227,GEX022003,gene_overlap,,,,,,,,,,1328.0,0.7433126605319258,2.3857961190871973e-56,,
A0,GEX005227,GEX014599,gene_overlap,,,,,,,,,,1123.0,0.7734544851049705,0.0003189198320551,,
A0,GEX006151,GEX008643,gene_overlap,,,,,,,,,,1424.0,0.7614505339996986,9.89112948499349e-15,,
A0,GEX006359,GEX034351,gene_overlap,,,,,,,,,,78.0,1.0,0.0981124423023399,,
A0,GEX006465,GEX028950,gene_overlap,,,,,,,,,,1576.0,0.7962913448986332,6.167453631714697e-36,,
A0,GEX007116,GEX017048,gene_overlap,,,,,,,,,,1277.0,0.7171369697043867,1.760487906963633e-07,,
A0,GEX007445,GEX036690,gene_overlap,,,,,,,,,,1232.0,1.0,24.942737305536863,,
A0,GEX007446,GEX036691,gene_overlap,,,,,,,,,,1942.0,1.0,62.7138661488425,,
A0,GEX008300,GEX025195,gene_overlap,,,,,,,,,,1501.0,0.8169761853735201,6.698737989189802e-21,,
A0,GEX008308,GEX013317,gene_overlap,,,,,,,,,,851.0,0.6813426791700679,7.881885042559058e-13,,
A0,GEX008308,GEX022592,gene_overlap,,,,,,,,,,1058.0,0.7898127690433442,2.387518357735238e-20,,
A0,GEX008502,GEX036142,gene_overlap,,,,,,,,,,1496.0,0.7973410899769382,1.2113494852966154e-12,,
A0,GEX008792,GEX010257,gene_overlap,,,,,,,,,,1054.0,0.6324056544505574,1.2997374087091928e-07,,
A0,GEX009890,GEX022207,gene_overlap,,,,,,,,,,1444.0,0.7526943821764539,2.5822236251643543e-56,,
A0,GEX009928,GEX114820,gene_overlap,,,,,,,,,,1881.0,1.0,58.77568078471813,,
A0,GEX010045,GEX011185,gene_overlap,,,,,,,,,,1449.0,0.7578997729823143,3.6263756175429023e-53,,
A0,GEX010429,GEX014508,gene_overlap,,,,,,,,,,820.0,0.5778380162043791,5.9187600476759124e-08,,
A0,GEX010536,GEX034516,gene_overlap,,,,,,,,,,1574.0,0.7664257153084715,5.5415223699890126e-36,,
A0,GEX010663,GEX053829,gene_overlap,,,,,,,,,,1364.0,0.899753494457068,0.0179871239838617,,
A0,GEX011494,GEX030521,gene_overlap,,,,,,,,,,510.0,0.7697144354204872,5.98229522688825e-33,,
A0,GEX011715,GEX033378,gene_overlap,,,,,,,,,,1061.0,0.6399973156936055,0.2299882805763955,,
A0,GEX012447,GEX032914,gene_overlap,,,,,,,,,,1156.0,0.6985598567817284,2.700792996682752e-23,,
A0,GEX012608,GEX028264,gene_overlap,,,,,,,,,,1371.0,0.7136809293320425,2.0324230344022503e-25,,
A0,GEX012608,GEX034239,gene_overlap,,,,,,,,,,1363.0,0.8374158348366406,2.404366000063557e-40,,
A0,GEX013013,GEX014101,gene_overlap,,,,,,,,,,1084.0,0.6392220675665076,0.0095907983822956,,
A0,GEX013138,GEX026551,gene_overlap,,,,,,,,,,1435.0,0.8086459920121465,1.3839025852201038e-05,,
A0,GEX013317,GEX028961,gene_overlap,,,,,,,,,,852.0,0.6267645720379023,2.7420533073329293e-10,,
A0,GEX013486,GEX030962,gene_overlap,,,,,,,,,,1165.0,0.6328078207290626,2.150896497341376e-12,,
A0,GEX013618,GEX031588,gene_overlap,,,,,,,,,,1264.0,0.7556286787251664,0.492901806345207,,
A0,GEX013826,GEX032198,gene_overlap,,,,,,,,,,940.0,0.6737269874138544,1.0771773657551464e-09,,
A0,GEX014599,GEX022003,gene_overlap,,,,,,,,,,1094.0,0.6778666513271112,3.2611154699217903e-12,,
A0,GEX015280,GEX028941,gene_overlap,,,,,,,,,,1244.0,0.6876721356439809,3.139805063502647e-31,,
A0,GEX015312,GEX015418,gene_overlap,,,,,,,,,,911.0,0.7330183024659591,3.789730765192723e-31,,
A0,GEX015351,GEX035962,gene_overlap,,,,,,,,,,1656.0,0.7860422405876951,1.749222029963537e-56,,
A0,GEX016016,GEX025274,gene_overlap,,,,,,,,,,901.0,0.6474649287383563,1.509504310208876e-18,,
A0,GEX016562,GEX032080,gene_overlap,,,,,,,,,,889.0,0.5918588520369529,0.0018591453126823,,
A0,GEX016856,GEX021052,gene_overlap,,,,,,,,,,1239.0,0.7619190404797601,3.5424320141791567e-31,,
A0,GEX017335,GEX027295,gene_overlap,,,,,,,,,,7.0,0.4947368421052631,0.002142552233492,,
A0,GEX018010,GEX018550,gene_overlap,,,,,,,,,,486.0,0.4787925009990763,0.2312544721001272,,
A0,GEX018524,GEX035804,gene_overlap,,,,,,,,,,992.0,0.7813593598874526,9.123060256775945e-14,,
A0,GEX019915,GEX030699,gene_overlap,,,,,,,,,,559.0,0.6674596668385859,8.351267731127836e-11,,
A0,GEX020990,GEX031515,gene_overlap,,,,,,,,,,354.0,1.0,2.0299295656150207,,
A0,GEX022008,GEX022632,gene_overlap,,,,,,,,,,1344.0,0.8230805088315407,1.4908543662357315e-46,,
A0,GEX022008,GEX034583,gene_overlap,,,,,,,,,,1346.0,0.7522210347824847,1.1521197798485375e-38,,
A0,GEX022555,GEX029506,gene_overlap,,,,,,,,,,505.0,0.4809404735378343,7.428387871671966,,
A0,GEX022555,GEX031369,gene_overlap,,,,,,,,,,494.0,0.4736024879462138,4.604942712393801,,
A0,GEX022592,GEX028961,gene_overlap,,,,,,,,,,1086.0,0.7519070095439905,1.1679317085241254e-05,,
A0,GEX022632,GEX034583,gene_overlap,,,,,,,,,,1409.0,0.7912187020428132,2.309902058077961e-23,,
A0,GEX022769,GEX025513,gene_overlap,,,,,,,,,,1323.0,0.7527783830899979,3.051062820458533e-12,,
A0,GEX023093,GEX030043,gene_overlap,,,,,,,,,,1270.0,1.0,26.52181881922297,,
A0,GEX023798,GEX026738,gene_overlap,,,,,,,,,,1402.0,0.7824678839388024,0.0022393144629661,,
A0,GEX024453,GEX034676,gene_overlap,,,,,,,,,,1023.0,0.762988027815614,4.909962687880188e-07,,
A0,GEX024473,GEX030890,gene_overlap,,,,,,,,,,645.0,0.4596801346801346,13.525953518892798,,
A0,GEX025260,GEX030699,gene_overlap,,,,,,,,,,504.0,0.6201028637755408,2.8178725387428048e-11,,
A0,GEX026326,GEX032637,gene_overlap,,,,,,,,,,1110.0,0.6591495667711332,1.2699613222579135e-20,,
A0,GEX028264,GEX034239,gene_overlap,,,,,,,,,,1389.0,0.717820838667848,9.720959374598843e-29,,
