threshold,cluster,term_id,representative_term_id,is_redundant,max_jaccard_to_kept,max_overlap_coeff_to_kept
090,1,GEX003523,GEX003523,0,0.03479036574487065,0.06782608695652174
090,1,GEX007217,GEX007217,0,0.23341790503805726,0.3907766990291262
090,1,GEX007564,GEX007564,0,0.20096186877361732,0.3360137851809305
090,1,GEX008185,GEX008185,0,0.3633136094674556,0.5588592233009708
090,1,GEX008286,GEX008286,0,0.12208915502328677,0.23450479233226837
090,1,GEX008599,GEX008599,0,0.26882160392798693,0.48811292719167904
090,1,GEX011755,GEX011755,0,0.11692506459948321,0.23130990415335465
090,1,GEX073274,GEX073274,0,0.0,0.0
090,2,GEX002071,GEX002071,0,0.0,0.0
090,2,GEX004129,GEX004129,0,0.031702544031311154,0.0643879173290938
090,2,GEX010901,GEX010901,0,0.11494252873563218,0.21770682148040638
090,2,GEX018309,GEX018309,0,0.14714714714714713,0.2878590078328982
090,2,GEX027185,GEX027185,0,0.10081240768094535,0.19811320754716982
090,2,GEX032806,GEX032806,0,0.057971014492753624,0.11197916666666667
090,2,GEX038838,GEX038838,0,0.10570026425066063,0.21116138763197587
090,2,GEX014082,GEX002071,1,1.0,1.0
090,2,GEX024058,GEX004129,1,0.7819314641744548,0.9107402031930334
090,2,GEX034927,GEX004129,1,0.818500350385424,0.9597370583401807
090,3,GEX001064,GEX001064,0,0.11002081474873625,0.19956850053937433
090,3,GEX002898,GEX002898,0,0.09396355353075171,0.1779935275080906
090,3,GEX003977,GEX003977,0,0.046582794967698064,0.10198092443140132
090,3,GEX007443,GEX007443,0,0.08514787130321742,0.16133004926108374
090,3,GEX012989,GEX012989,0,0.0743718592964824,0.16999260901699925
090,3,GEX013121,GEX013121,0,0.15053763440860216,0.2698295033358043
090,3,GEX020061,GEX020061,0,0.0,0.0
090,3,GEX033932,GEX033932,0,0.03990746096009254,0.0803727431566686
090,3,GEX044749,GEX044749,0,0.042972536348949916,0.09859154929577464
090,3,GEX098330,GEX098330,0,0.1102873030583874,0.20816326530612245
090,4,GEX001291,GEX001291,0,0.21070336391437308,0.3485078401618614
090,4,GEX028692,GEX028692,0,0.048332019963225635,0.09227683049147442
090,4,GEX033868,GEX033868,0,0.6237260497350183,0.7692307692307693
090,4,GEX058954,GEX058954,0,0.12189616252821671,0.21796165489404642
090,4,GEX068985,GEX068985,0,0.07144775718506581,0.13353413654618473
090,4,GEX074414,GEX074414,0,0.46524457521147483,0.6366381479617513
090,4,GEX076755,GEX076755,0,0.25743200506008856,0.4106962663975782
090,4,GEX083892,GEX083892,0,0.14396551724137932,0.25188536953242835
090,4,GEX085967,GEX085967,0,0.0,0.0
090,4,GEX104126,GEX083892,1,1.0,1.0
090,5,GEX003293,GEX003293,0,0.015770319450060657,0.05213903743315508
090,5,GEX018998,GEX018998,0,0.023515579071134628,0.0481283422459893
090,5,GEX038945,GEX038945,0,0.04225786551511413,0.0848297213622291
090,5,GEX043842,GEX043842,0,0.019770660340055358,0.06134969325153374
090,5,GEX044165,GEX044165,0,0.0,0.0
090,5,GEX054085,GEX054085,0,0.059065934065934064,0.23497267759562843
090,5,GEX083891,GEX083891,0,0.02555366269165247,0.0546448087431694
090,5,GEX022152,GEX018998,1,0.8791689447785676,0.9359720605355064
090,5,GEX096686,GEX044165,1,0.810079575596817,0.9265776699029126
090,5,GEX097124,GEX003293,1,1.0,1.0
090,6,GEX000043,GEX000043,0,0.0,0.0
090,6,GEX000733,GEX000733,0,0.03165843740923613,0.06982703395259449
090,6,GEX000794,GEX000794,0,0.09036860879904875,0.1743119266055046
090,6,GEX001349,GEX001349,0,0.08089392508655965,0.1781011781011781
090,6,GEX011755,GEX011755,0,0.6520629519353467,0.8098256735340729
090,6,GEX039918,GEX039918,0,0.06997742663656885,0.15228070175438596
090,6,GEX055573,GEX055573,0,0.07654249126891735,0.15310698270339526
090,6,GEX084200,GEX084200,0,0.1074793875147232,0.20210409745293467
090,6,GEX116668,GEX116668,0,0.11058664868509778,0.22043010752688172
090,6,GEX027487,GEX000043,1,1.0,1.0
090,7,GEX002844,GEX002844,0,0.1365684575389948,0.2788393489030432
090,7,GEX006329,GEX006329,0,0.054453520031116295,0.12695652173913044
