epoch,train_loss,val_loss,val_auc,val_ap,test_auc,test_ap,pos_samples,elapsed_sec
1,1.3871815204620361,1.3468656539916992,0.822450220118256,0.8787498114779313,0.8730129492162316,0.9121669649972081,1865,0.08553361892700195
10,0.9709832668304443,1.0026843547821045,0.9024111698502459,0.9171168491092465,0.9429534528173295,0.9481880801474821,1865,0.3422212600708008
20,0.9328714609146118,0.9352236986160278,0.8950063548785205,0.9153016077763076,0.936994602958242,0.9487089379965695,1865,0.5527997016906738
30,0.8937821388244629,0.9014712572097778,0.9253992521505278,0.9371549287680428,0.9450533257197591,0.9532655251060981,1865,0.7585675716400146
40,0.8945795297622681,0.883355975151062,0.9310357530991545,0.9414622793845678,0.9457348634161616,0.9528167453147007,1865,0.9686412811279297
50,0.873456597328186,0.8673602342605591,0.9388826465766547,0.9487027622048576,0.9484057543885501,0.954983989758207,1865,1.1767306327819824
60,0.8502350449562073,0.8610416054725647,0.943027132568292,0.9516360546803271,0.9492530715246182,0.9558126117063701,1865,1.3893404006958008
70,0.8569706082344055,0.8556228280067444,0.943966549393063,0.9524999711620847,0.9497504098436148,0.9542959786274197,1865,1.599989891052246
80,0.8613447546958923,0.8545042276382446,0.9448875462800935,0.9537357864384097,0.9470979388089669,0.9523965270864023,1865,1.8114771842956543
90,0.861632227897644,0.8454240560531616,0.948792573081103,0.9559737903570789,0.9470795188712262,0.9522890284594235,1865,2.0125041007995605
100,0.845759391784668,0.8580222725868225,0.9366169942345595,0.9479156823369791,0.9386063475105454,0.947717136841402,1865,2.2269787788391113
110,0.8403295278549194,0.8506007790565491,0.940374661533644,0.9497155146235765,0.9430639724437732,0.9493924971715311,1865,2.445746660232544
120,0.8593613505363464,0.8623770475387573,0.9348486802114608,0.9452183529176608,0.9369669730516311,0.945652877514366,1865,2.6984341144561768
