index,method_label,k,silhouette_euclidean_mean,silhouette_euclidean_std,silhouette_cosine_mean,silhouette_cosine_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
0,gnn_holdout_l2,10,0.2600867102543513,0.021320044330358598,0.39086995522181195,0.029271658577767475,1.3529905974775562,0.08127816873631713,3309.5722421182177,86.18334542591883
1,gnn_holdout_l2,20,0.2115874787171681,0.0038018005525281575,0.3207991421222686,0.006492995967379163,1.5229322480448086,0.02921059339721958,2200.602369873244,40.407496170089544
2,gnn_holdout_l2,30,0.18540879090627027,0.0012331506847435766,0.2806948522726694,0.0016830813123006557,1.5959348379350609,0.02883042133206859,1672.724702623622,26.19394893542938
3,gnn_holdout_l2,40,0.1715811987717946,0.0023879447305181108,0.26371244589487713,0.003979916730503338,1.7259857964165832,0.037018321614996956,1356.812958352362,14.871745527429034
4,gnn_holdout_l2,50,0.15828168888886765,0.007543322641460758,0.24493803083896634,0.012835579915446359,1.778280797939474,0.01687927530603799,1147.124200314389,18.15415236835895
5,gnn_pilot_l2,10,0.2803666989008585,0.010015903800730537,0.42120503385861713,0.015303709328912316,1.2828163672604982,0.031862353050503514,2447.846250827543,19.7004316011854
6,gnn_pilot_l2,20,0.23021245996157327,0.003911974027011266,0.35030211011568707,0.0033865510176729085,1.3993775877001402,0.009552334834584316,1628.663610459774,19.217892508948786
7,gnn_pilot_l2,30,0.20236331224441528,0.005298801188044906,0.3073629339536031,0.008596947515713983,1.533367935126603,0.004159628422347659,1266.5628094675694,11.887591182780067
8,gnn_pilot_l2,40,0.1908426980177561,0.004358641951130318,0.2901553511619568,0.008646658577625727,1.5978368464574177,0.05238810153098731,1042.4958330911043,3.3342771090433563
9,gnn_pilot_l2,50,0.17959971229235328,0.0027951719483299644,0.27493881185849506,0.006309826797798786,1.6013454031373169,0.0210754289244726,899.6695896741085,10.977837023358564
10,go_only,10,0.06774471079309773,0.01670691687353894,0.10838751246531801,0.027962314042081826,4.162229830856231,0.20075547816590153,189.46900861785738,1.7776592264418327
11,go_only,20,0.0405885304013888,0.006049197355805613,0.06543843572338416,0.009868539553198592,3.743486391844126,0.10888342928820256,110.46370118901844,1.4707058736241807
12,go_only,30,0.05822765454649917,0.004614543995434128,0.09556876619656877,0.008089140282048697,3.2658339998374135,0.025270626890239744,85.43985393540254,1.7903824632482466
13,go_only,40,0.06480272610982253,0.004998608987189114,0.1067237978180249,0.008508760418535828,3.139197950653162,0.03304881951155381,70.4443068784458,0.48248790218772764
14,go_only,50,0.0721622804800669,0.004987928752325422,0.11908231427272155,0.008799411223911585,3.042891606461726,0.14027470626464897,60.747430207051536,0.17309725631756448
15,golden_fusion_a0.25,10,0.08033103495836257,0.021014898247180565,0.14678548773129776,0.03599905030757744,3.7353763889730938,0.2588774632241048,166.46670069288538,4.10534612272441
16,golden_fusion_a0.25,20,0.059318791454037005,0.025104263985859757,0.10866170624891913,0.04448586330503155,3.8983067626744856,0.15557007565085834,95.92527977923139,1.0050186061652386
17,golden_fusion_a0.25,30,0.073242815832297,0.005505182515675905,0.13136909405390415,0.008606720936752289,3.7458532256531387,0.15062009734313136,72.88687194639228,2.159494187809261
18,golden_fusion_a0.25,40,0.06704926863312717,0.012834082194584338,0.11984027673800783,0.022644449088734975,3.537692100792101,0.06529060603286638,60.20022251754303,0.765158793945833
19,golden_fusion_a0.25,50,0.06354947139819457,0.008944236345674119,0.1133379886547724,0.015279745882720852,3.4235655039671156,0.09661649962125606,51.366926379199406,1.0932789709985367
20,pager_l2,10,0.059403291592995296,0.021935565872804243,0.10543313249945636,0.039638168422061644,3.92509506405062,0.7494517790453755,179.47291504038776,9.73959600000638
21,pager_l2,20,0.057308481385310465,0.01429054625548324,0.09915507584810253,0.02743853835758777,3.743388562350186,0.08414436588005188,112.22019539313821,1.6165067448382346
22,pager_l2,30,0.06012209256490067,0.007669360686916335,0.10489119340976076,0.01429209651136249,3.5528193069481637,0.13777644715439452,84.50389801081369,3.8031893260393743
23,pager_l2,40,0.047901215963065596,0.03386476822275523,0.0762744782065662,0.06927985682069325,3.572226379897207,0.21495643567739453,68.27870540684553,2.8008425048969605
24,pager_l2,50,0.048664868498841864,0.02890074284223975,0.077433759967486,0.06102829356442595,3.5232360070645417,0.08763812528273095,57.83657078701852,2.6567570056600323
