epoch,train_loss,val_auc,val_ap,pos_samples,elapsed_sec
1,1.3870506286621094,0.8712998950063549,0.914276588125111,2098,0.04839920997619629
10,0.9740300178527832,0.9280148833096944,0.937680024356096,2098,0.23842787742614746
20,0.9443564414978027,0.9338908434489491,0.9469411224221331,2098,0.5807843208312988
30,0.901348888874054,0.9490504522094716,0.9573610580647129,2098,0.7839865684509277
40,0.8978196978569031,0.9533607176407745,0.9612091881772225,2098,1.0352401733398438
50,0.8855317831039429,0.9578920223249645,0.9654834887923363,2098,1.3192627429962158
60,0.8790737390518188,0.9570078653134153,0.965956249570407,2098,1.5691893100738525
70,0.8654162883758545,0.9598261157877286,0.9676386315452933,2098,1.7760932445526123
80,0.8753803968429565,0.9606365930483155,0.9684593464621662,2098,1.9850797653198242
90,0.8612242341041565,0.9592550977177696,0.9679297359130423,2098,2.2111613750457764
100,0.8452951908111572,0.9566578864963435,0.9665190152867378,2098,2.433295965194702
110,0.8526703119277954,0.9602497743557626,0.9686642914253129,2098,2.631375789642334
120,0.8518396615982056,0.9571920646908212,0.9663446743931776,2098,2.8425698280334473
